Exercise ,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Exercise Classification
Stability Ball Dead Bug,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Supine,Single Arm,Alternating,Neutral,Other,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural
Glute Bridge,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,,,Bodyweight,0,,,Bridge,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Bilateral,
Bird Dog,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Quadruped,Single Arm,Alternating,Flat Palm,No Load,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural
Stability Ball Seated Russian Twist ,Video Demonstration,,Beginner,Abdominals,Obliques,Rectus Abdominis ,,Stability Ball,1,,,Seated,Double Arm,Continuous,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Stability Ball Feet Elevated Crunch ,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Supine,No Arms,Continuous,Head Supported,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,
Ring Hanging Knee Raise ,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Parallette Mountain Climber,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,,Parallette Bars,2,,,Prone,Double Arm,Continuous,Neutral,No Load,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Parallette Push Up,Video Demonstration,Video Explanation,Novice,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars,2,,,Prone,Double Arm,Continuous,Neutral,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Knee Hover Bird Dog,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Knee Hover Quadruped,Single Arm,Alternating,Flat Palm,No Load,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural
Stability Ball Pass,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Supine,Double Arm,Continuous,Neutral,Other,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Dead Bug,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Supine,Single Arm,Alternating,No Grip,No Load,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural
Alternating Heel Taps,Video Demonstration,Video Explanation,Beginner,Abdominals,Obliques,Rectus Abdominis ,,Bodyweight,0,,,Supine,Double Arm,Alternating,No Grip,No Load,Single Exercise,Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,
Flutter Kicks,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Supine,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Kneeling Plank,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Prone,Double Arm,Continuous,Forearm,No Load,Single Exercise,Anti-Extension,,,Frontal Plane,,,Midsection,Other,Compound,Bilateral,
Seated Ab Circles,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Seated,No Arms,Continuous,Flat Palm,No Load,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Ring Hanging Oblique Knee Raise,,,Intermediate,Abdominals,Obliques,Rectus Abdominis ,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
